# BEAST v1.10.0 Prerelease #VEME2017
# Generated Thu Aug 02 12:26:40 NZST 2018 [seed=1533169596371]
# -beagle_SSE ../mugration_nosample_tight.xml
state	location.coefficients1	location.coefficients2	location.coefficients3	location.coefficients4	location.coefficients5	location.coefficients6	location.coefficients7	location.coefficients8	location.coefficients9	location.coefficients10	location.coefficients11	location.coefIndicators1	location.coefIndicators2	location.coefIndicators3	location.coefIndicators4	location.coefIndicators5	location.coefIndicators6	location.coefIndicators7	location.coefIndicators8	location.coefIndicators9	location.coefIndicators10	location.coefIndicators11	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11
560000	0.4865000824065772	1.4216152367901285	-0.44683519775535196	1.0803991088236875	-0.8038353063061513	-2.7003076788155815	0.3733201706369142	3.060067211003809	-0.6419275787901527	-1.2813519337791361	-1.4762116702524604	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4865000824065772	0.0	-0.0	0.0	-0.8038353063061513	-0.0	0.0	0.0	-0.0	-0.0	-0.0
580000	0.5759468417450674	-0.38779157637008693	0.18300262717211382	1.5638993839389022	-0.6716584136377242	-1.656025643697893	-0.09289318649895051	-0.14857462406370245	2.9381980399513283	-0.5243427404506728	-0.3749934383594641	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5759468417450674	-0.0	0.0	0.0	-0.6716584136377242	-0.0	-0.0	-0.0	0.0	-0.0	-0.3749934383594641
600000	0.6269061312432175	-2.669915130515716	3.2115515615280046	-0.9385423894190749	-0.9997990578743498	-0.9365235826732314	-0.48327665890237564	4.5602137175709645	3.4142497278743233	0.2912998337133189	-0.7504950122706789	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6269061312432175	-0.0	0.0	-0.0	-0.9997990578743498	-0.0	-0.0	0.0	0.0	0.0	-0.7504950122706789
620000	0.5798609597885928	-2.222779428661152	1.107477983144775	0.5304851883183676	-0.87590464415398	-1.7435632404527905	3.2701768932100284	-0.24745655127623709	-1.6924517845357399	0.9360342170053304	-0.44164998416231765	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5798609597885928	-0.0	0.0	0.0	-0.87590464415398	-0.0	0.0	-0.0	-0.0	0.0	-0.44164998416231765
640000	0.48924751784963405	-2.090773909787923	0.9526359040440512	0.8539073858814163	-0.7339520074052979	-1.5052556789272795	1.4713391004583423	-1.0282822812097216	-1.260455166448744	-1.0733784700922038	-0.6551279588090853	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.48924751784963405	-0.0	0.0	0.0	-0.7339520074052979	-0.0	0.0	-0.0	-0.0	-0.0	-0.6551279588090853
660000	0.43403020605793835	-0.3280814705032946	-0.3880146613750617	1.9576835250244697	-0.7547091793886318	-1.112640629923072	0.9963933501494682	0.9223258707296972	-0.6000848061814064	-4.576756145557444	0.32809640765487136	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43403020605793835	-0.0	-0.0	0.0	-0.7547091793886318	-0.0	0.0	0.0	-0.0	-0.0	0.0
680000	0.6620223336452848	3.0625986538835863	1.4290874959700528	-0.718590955008662	-0.9837814919971685	1.6357940784742746	-1.7184614077522995	0.6588993200680273	-0.8850356342602909	-2.7208665428174164	-0.6510897506654773	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6620223336452848	0.0	0.0	-0.0	-0.9837814919971685	0.0	-0.0	0.0	-0.0	-0.0	-0.6510897506654773
700000	0.4226809799923125	0.7984377313888855	-0.7513758276325057	-1.9298903861215309	-0.6319663683314529	-0.01431250832432525	-1.1647172081284536	-1.112143134713037	-3.638128679825361	-1.9085693843214062	-2.6610821876723083	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4226809799923125	0.0	-0.0	-0.0	-0.6319663683314529	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
720000	0.5551515517531823	-1.956027463884142	1.8328882378463913	1.1356262810123157	-0.6029358829768877	2.5903612503015023	-1.3339233766532592	0.5598691072312528	-2.0432186314555985	-0.7179931156234995	-0.4535390809878151	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5551515517531823	-0.0	0.0	0.0	-0.6029358829768877	0.0	-0.0	0.0	-0.0	-0.0	-0.4535390809878151
740000	0.46662407617953616	0.6685276626928948	0.10769462615893832	1.009363455398349	-0.7843564846644893	0.09005117451720945	4.125924957303786	-1.9680986511769787	-1.076440804703372	-0.10970238562893168	-0.5084597019609388	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.46662407617953616	0.0	0.0	0.0	-0.7843564846644893	0.0	0.0	-0.0	-0.0	-0.0	-0.5084597019609388
