# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Feb 25 09:42:59 CST 2019 [seed=1551058978230]
# -beagle_SSE DTA_385_nosample_tight_100m.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	alpha	default.clock.rate	location.clock.rate	default.meanRate	location.meanRate	location.includedPredictors	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skyline
540000	-50747.91802999668	-4617.686535676272	-46130.23149432041	50.83554815477264	1964.084999790433	1579.169888176059	137.38185255020883	102.2442207350065	198.3025314939942	115.5798459941633	140.79975800132416	103.37578165294003	114.30727152208681	97.68738456954839	50.68778083101451	4.272230171159683	43.0	47.0	16.0	10.0	65.0	19.0	106.0	2.0	72.0	4.0	8.689800567663804	0.45858811048259923	0.0029703902846230736	0.01602121396873702	0.002970390284623074	0.016021213968737014	2.0	0.6144772830541042	-0.0	-0.0	-0.0	-0.5768937657369533	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-45872.682184853766	0.0	0.0	-257.5493094666423	-2208.421544425525
560000	-50680.70556124522	-4597.003002922696	-46083.70255832252	49.22679495430578	1965.6937529908996	1545.3467504110758	138.9610032125063	119.04762298847422	243.85583970980366	225.86634046940677	153.66986510511873	97.04642941860604	137.996427451483	18.954891506885932	36.702252423036576	4.090677364668147	48.0	51.0	2.0	26.0	57.0	20.0	109.0	6.0	61.0	4.0	8.930401754050774	0.3935842902652808	0.002859313086765643	0.01783143782850573	0.002859313086765642	0.01783143782850572	2.0	0.41822857207104924	0.0	0.0	-0.0	-0.7976959164647467	-0.0	0.0	0.0	-0.0	-0.0	0.0	-45831.160443352266	0.0	0.0	-252.54211497025028	-2186.6783631294643
580000	-50660.44335187128	-4571.701777639358	-46088.74157423193	49.04139164040106	1965.8791563048044	1504.2299320701716	97.62432352190801	120.8236403718682	122.49250879372498	98.77705224948207	247.48888779361522	88.66214548619125	130.7636889014806	20.44637403836604	32.33873735938287	14.461500228653922	48.0	57.0	2.0	21.0	64.0	24.0	98.0	7.0	59.0	4.0	8.812993383072774	0.42948885652302365	0.003039231224868599	0.020162972743377857	0.003039231224868596	0.020162972743377864	2.0	0.4692893557454257	-0.0	0.0	0.0	-0.7569455211484832	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-45837.87380449945	0.0	0.0	-250.86776973247123	-2156.7718111679715
600000	-50654.69469637803	-4564.361972674188	-46090.33272370384	47.81491178530271	1967.1056361599028	1494.0370619859546	131.29412895878215	111.95314491177085	278.780171884806	67.65272823941162	185.6345019219067	112.13017498687232	106.36916385617353	122.22301559774503	33.10508173629863	4.700009368422517	36.0	61.0	12.0	18.0	60.0	19.0	97.0	11.0	66.0	4.0	8.567434902524978	0.44739320972957913	0.0030750968881623395	0.017785443559942667	0.003075096888162342	0.01778544355994268	2.0	0.5092863499968568	0.0	-0.0	0.0	-0.8706876123189075	0.0	-0.0	0.0	0.0	-0.0	0.0	-45838.469766899856	0.0	0.0	-251.8629568039805	-2148.5446524599047
620000	-50657.0652592132	-4573.988720590784	-46083.076538622416	47.7563930635715	1967.164154881634	1505.690159647308	142.89339903207247	100.43831167027484	101.19602958942507	106.69989268209186	193.32191574236032	117.10971433943406	123.56575839588584	167.6005020123338	36.94728944914664	4.15667285314056	42.0	44.0	24.0	12.0	63.0	21.0	95.0	15.0	62.0	6.0	8.182207169686492	0.4468522973140138	0.003136829548680348	0.01869141288147986	0.003136829548680344	0.018691412881479824	2.0	0.5471580769192766	0.0	-0.0	-0.0	-0.6205962055548336	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-45832.82023115679	0.0	0.0	-250.25630746562643	-2163.7727446607732
640000	-50658.324755937196	-4570.784000961434	-46087.54075497576	46.80723203567252	1968.113315909533	1483.3157878486586	136.31882712137596	135.76749809653953	106.32971490908952	135.67828937018638	163.03545669416152	99.03704080453093	120.470520048335	177.68383337853305	44.63581850021813	1.8222536083834007	45.0	33.0	23.0	1.0	83.0	18.0	85.0	27.0	65.0	4.0	8.35393800283857	0.4364695490194854	0.003070077171486265	0.018693748640423283	0.0030700771714862666	0.018693748640423256	2.0	0.4033774081640892	0.0	-0.0	0.0	-0.8748709400693001	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-45838.525007676675	0.0	0.0	-249.01574729908452	-2159.561543911871
660000	-50646.17329623833	-4553.693242481592	-46092.48005375674	48.08687072607165	1966.8336772191337	1466.183421948899	145.832860508585	86.11388081136883	94.35940035626453	146.2530385744801	180.95503771257066	141.2383756665903	123.92259839815028	145.29518782056977	25.98216592212043	11.908485396266027	39.0	42.0	31.0	9.0	70.0	14.0	89.0	26.0	59.0	5.0	9.043106778712644	0.405721619788425	0.002898775858847023	0.014836169576931409	0.0028987758588470214	0.014836169576931402	2.0	0.4833207396259221	-0.0	-0.0	0.0	-0.8883531018891284	-0.0	-0.0	-0.0	0.0	0.0	0.0	-45837.393622418225	0.0	0.0	-255.08643133851493	-2150.525681742013
680000	-50638.35115527373	-4556.710370397549	-46081.64078487618	47.15422207864231	1967.7663258665632	1456.054677330013	111.28409596153776	82.16604962936792	134.91803583864763	142.97475332577912	134.65765746386788	45.89764856971893	118.73685148494843	72.73318290913434	31.542616555460924	5.533705469324137	56.0	31.0	35.0	9.0	81.0	15.0	79.0	14.0	59.0	5.0	8.966110963275103	0.4307597427594017	0.003026748404711168	0.01853088755251066	0.003026748404711167	0.01853088755251067	2.0	0.4302564161031646	0.0	0.0	-0.0	-0.9169691758085665	-0.0	0.0	0.0	-0.0	0.0	0.0	-45830.308857520766	0.0	0.0	-251.33192735541775	-2144.400991304188
700000	-50630.9273701223	-4562.782918094657	-46068.14445202764	47.09883295516258	1967.821714990043	1465.3824095450182	131.827223725354	106.24526543396371	161.00511458223153	134.654763748601	136.3659346659967	84.45796485983463	104.88506196667126	100.66089763897553	29.656792157767338	7.633193205607647	51.0	30.0	25.0	5.0	87.0	6.0	111.0	7.0	57.0	5.0	8.764034591444622	0.46494115296452126	0.0032252037642826643	0.019716558286486725	0.0032252037642826687	0.01971655828648674	2.0	0.3707554985265358	-0.0	-0.0	0.0	-1.0769960535953977	0.0	0.0	0.0	0.0	-0.0	-0.0	-45816.18721017634	0.0	0.0	-251.95724185130624	-2153.955911960177
720000	-50647.66215771121	-4553.652947429829	-46094.00921028138	46.85377480005107	1968.0667731451545	1450.219293980266	138.64915263779682	73.77534015266048	114.04835499764258	200.69718584857068	171.2804690542007	88.82666399514213	132.95470174337444	109.27703742441976	32.306763683505146	0.8804160319789709	60.0	28.0	10.0	12.0	84.0	7.0	111.0	10.0	61.0	1.0	8.972399381035231	0.4696007049135003	0.003210229356726152	0.018498962052599245	0.0032102293567261523	0.018498962052599207	2.0	0.3749212741439988	-0.0	-0.0	-0.0	-0.8089362498729483	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-45842.37765699184	0.0	0.0	-251.63155328953678	-2142.211684474287
