# BEAST v1.10.0 Prerelease #VEME2017
# Generated Thu Aug 02 12:26:40 NZST 2018 [seed=1533169596303]
# -beagle_SSE ../mugration_sample_tight.xml
state	location.coefficients1	location.coefficients2	location.coefficients3	location.coefficients4	location.coefficients5	location.coefficients6	location.coefficients7	location.coefficients8	location.coefficients9	location.coefficients10	location.coefficients11	location.coefficients12	location.coefficients13	location.coefIndicators1	location.coefIndicators2	location.coefIndicators3	location.coefIndicators4	location.coefIndicators5	location.coefIndicators6	location.coefIndicators7	location.coefIndicators8	location.coefIndicators9	location.coefIndicators10	location.coefIndicators11	location.coefIndicators12	location.coefIndicators13	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	location.coefficientsTimesIndicators12	location.coefficientsTimesIndicators13
300000	0.6816207755091914	0.6910615589488258	3.7118823729175427	-0.36385394723304715	-0.7116117049289794	0.47926337999287755	-0.7036517138903822	-1.524605805785589	-2.8260262805415555	-2.452657600017008	-0.7245879371926499	-1.9789505693887892	-0.6044725764003097	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.6816207755091914	0.0	0.0	-0.0	-0.7116117049289794	0.0	-0.0	-0.0	-0.0	-0.0	-0.7245879371926499	-0.0	-0.0
320000	0.5430002092255342	0.3519677835377855	-1.991936753401467	1.671075406547898	-0.821254641663964	-0.9097355988369568	0.7607990418760514	1.9805487527394319	-1.528800034316773	-1.2180714365447276	-0.5741171276702749	5.339217508536514	0.02622229536259227	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.5430002092255342	0.0	-0.0	0.0	-0.821254641663964	-0.0	0.0	0.0	-0.0	-0.0	-0.5741171276702749	0.0	0.0
340000	0.4346864240296283	0.7298775055052722	-2.7203083546777957	-2.6908407256116846	-0.6016944304095873	-1.0014710692524198	-0.11187295377662167	0.7521279892016527	-1.9595300593227225	-0.9188134666998009	-0.6706695859438402	-0.9191816949473629	-0.4410580836049742	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.4346864240296283	0.0	-0.0	-0.0	-0.6016944304095873	-0.0	-0.0	0.0	-0.0	-0.0	-0.6706695859438402	-0.0	-0.0
360000	0.6660496966352926	1.588846719386721	-0.07791591829446924	3.144910926004244	-0.7844676738709522	-2.996639272424177	0.3297951614932869	-1.6220963577727394	1.7813444533766682	-1.6646519085334759	-0.7137089323004812	-0.7197872059416011	3.362282617621982	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.6660496966352926	0.0	-0.0	0.0	-0.7844676738709522	-0.0	0.0	-0.0	0.0	-0.0	-0.7137089323004812	-0.0	0.0
380000	0.37963075784129574	-0.5796286728304052	-3.0720076819397755	3.2933691113082495	-0.8237713236966938	-1.1795323299142362	1.1622826754574145	-1.4138607817996263	0.9810161613238664	-2.6532386902635094	-0.5258114444147132	3.4280736112971977	1.146741939760162	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.37963075784129574	-0.0	-0.0	0.0	-0.8237713236966938	-0.0	0.0	-0.0	0.0	-0.0	-0.5258114444147132	0.0	0.0
400000	0.7918329095682705	-1.280414354962791	-0.3067244043586747	0.584051262798426	-0.6387439422450915	-1.8006454568248778	-0.9722537287470312	-1.615406955244538	0.6758857785690078	0.5695187604511006	-0.8913645866286873	4.52672659390579	-0.5041166915891024	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.7918329095682705	-0.0	-0.0	0.0	-0.6387439422450915	-0.0	-0.0	-0.0	0.0	0.0	-0.8913645866286873	0.0	-0.0
420000	0.32103319941866015	0.973461536884192	-3.9379617113113476	3.1791150315785592	-0.8715854613181704	2.1554965195622935	-2.9204779514383974	1.0563228299911376	-0.5005848092406001	0.32129385164364216	-0.942933673918073	1.2237063137587942	0.4543960561280762	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32103319941866015	0.0	-0.0	0.0	-0.8715854613181704	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0
440000	0.6419381542610679	-1.525867446509229	-0.31199049488453906	-1.1614192326696686	-0.7280240854295708	0.15765996375665012	-0.7261671746601975	-2.30677147705021	1.610108632385365	2.9056655377947225	-0.71664548561776	2.8650286876469333	-3.9167487448387988	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.6419381542610679	-0.0	-0.0	-0.0	-0.7280240854295708	0.0	-0.0	-0.0	0.0	0.0	-0.71664548561776	0.0	-0.0
460000	0.5410936500427332	-2.403853642608365	-1.0108271676732024	-4.011743611053638	-0.7969186667316364	0.4421851876880691	-0.5162871628158641	-2.9274386177696745	-3.4858384782918037	-0.27675864931166866	-0.5974778257427493	-1.0141960312896519	-1.3576488149647121	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.5410936500427332	-0.0	-0.0	-0.0	-0.7969186667316364	0.0	-0.0	-0.0	-0.0	-0.0	-0.5974778257427493	-0.0	-0.0
480000	0.45182343771576927	-0.9326710765378584	1.0465474122316785	-0.31832991975865566	-0.7455458749135879	1.978100685699112	-0.20195782912961932	0.6345752464372965	-0.34236593629493567	-0.9151097149971551	0.7911213105227953	1.5702285051829665	0.6556257635785554	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45182343771576927	-0.0	0.0	-0.0	-0.7455458749135879	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0
