# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Feb 25 09:42:05 CST 2019 [seed=1551058923968]
# -beagle_SSE DTA_385_sample_tight_100m.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	alpha	default.clock.rate	location.clock.rate	default.meanRate	location.meanRate	location.includedPredictors	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	location.coefficientsTimesIndicators12	location.coefficientsTimesIndicators13	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skyline
520000	-50746.333091713335	-4647.927232749528	-46098.40585896381	53.83130345206056	1961.0892444931449	1712.493865896644	162.2008590266117	71.50041140586836	211.2950114057389	166.4738311014027	44.41367483027142	227.75130907336487	174.50394685653112	89.40693279438761	51.09388418856244	14.072355120919163	56.0	36.0	79.0	52.0	25.0	29.0	20.0	34.0	46.0	7.0	8.65077044667379	0.4617788665752639	0.0026590058695837096	0.01465787192478835	0.00265900586958371	0.014657871924788337	2.0	-0.0	-0.0	-0.0	-0.0	-1.1725179105279022	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.2722459338451427	-0.0	-45840.82414251288	0.0	0.0	-257.581716450928	-2232.882553015167
540000	-50753.155973440844	-4650.388550532094	-46102.76742290875	54.021984071626676	1960.8985638735787	1685.4372315221433	122.66117103804068	85.66385191069415	207.7620703623899	174.37972289269078	117.8935615376747	184.46946983727022	131.4845399954925	64.58306873028192	56.28441572577926	23.17263084046909	57.0	31.0	84.0	48.0	33.0	29.0	22.0	21.0	53.0	6.0	8.683502084718695	0.4478012931132274	0.002743041314025274	0.013762976595944307	0.0027430413140252727	0.013762976595944287	2.0	0.0	-0.0	0.0	-0.0	-1.8180533360995252	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.9448746377569341	-0.0	-45845.38872043387	0.0	0.0	-257.37870247488246	-2235.3436657575676
560000	-50735.1463179568	-4615.080621168892	-46120.06569678791	52.25336648915842	1962.667181456047	1662.3376450589972	144.29764850966453	85.49969451081678	236.03725038825795	216.89116948999927	62.90520723683891	239.99040275939836	102.0394728746171	208.7380854348928	49.64744451448951	5.753985009812843	62.0	26.0	73.0	47.0	36.0	19.0	29.0	22.0	63.0	7.0	8.760512895308368	0.4444312378916548	0.0027183047288776387	0.013563036680688936	0.002718304728877633	0.013563036680688935	2.0	0.0	-0.0	0.0	-0.0	-1.2171468763060773	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.6688367007378524	-0.0	-45858.89332233858	0.0	0.0	-261.17237444932806	-2200.6000364278293
580000	-50711.976673533805	-4633.198517988657	-46078.77815554515	53.39618012688176	1961.5243678183238	1641.5772364913519	124.3188920483772	133.85173642217163	171.65717726456447	212.42696759257979	126.63558103267442	209.49044731998336	159.01959150096064	15.811597328083176	48.47382431449723	15.894904500630489	54.0	23.0	78.0	49.0	45.0	20.0	46.0	8.0	57.0	4.0	9.028406550655781	0.45500252778303696	0.0027406280980635414	0.014969332218271967	0.002740628098063543	0.014969332218271987	4.0	0.3511429733691603	-0.0	0.0	-0.0	-0.8827261821778631	-0.0	-0.0	-0.0	0.0	-0.0	-0.34781957034463623	0.44037080935495876	-0.0	-45832.52018814263	0.0	0.0	-246.2579674025186	-2212.267669622026
600000	-50731.14913159949	-4642.471463758394	-46088.6776678411	53.44727950561337	1961.4732684395922	1638.979712379777	127.82143368375914	116.16024486441549	151.83537193696557	318.2857236587489	102.5029339450784	198.97793108468284	170.87403541694422	13.628637369408338	49.63840552929595	32.97501441738916	50.0	30.0	78.0	38.0	56.0	19.0	44.0	14.0	52.0	3.0	8.7479405988454	0.484394561953017	0.003007550326953319	0.020615734151799306	0.0030075503269533146	0.020615734151799285	2.0	0.3831602511666345	-0.0	-0.0	1.6599693387649956	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-45835.69985126295	0.0	0.0	-252.97781657814377	-2210.4213290174257
620000	-50707.21132551384	-4619.172014062668	-46088.039311451175	53.401069418426786	1961.5194785267788	1623.0410222733824	169.02302321703277	119.41380771197505	165.35314942929352	294.51111771444107	115.61529304608423	295.3837659705679	144.1054708431059	64.31873550045187	42.78481926348441	6.64616989577077	42.0	38.0	75.0	38.0	59.0	9.0	57.0	2.0	58.0	6.0	8.790084640204196	0.45460780408915463	0.0029313656642744185	0.012916732022582922	0.0029313656642744124	0.012916732022582913	3.0	0.6156213936575969	-0.0	-0.0	0.0	-0.7213044734340589	-0.0	0.0	-0.0	0.0	-0.0	-0.261956104123373	-0.0	0.0	-45832.438088275056	0.0	0.0	-255.6012231761204	-2202.6252697143273
640000	-50722.35699254708	-4616.4446675081	-46105.91232503898	50.101764120489534	1964.8187838247159	1588.2427893920587	145.13165482931853	91.36614985663078	169.65050893179756	209.96075781699227	136.74271311244996	168.80161664496987	133.04266095758635	48.501158928659436	39.10687967966155	5.299387845582035	31.0	50.0	69.0	38.0	59.0	10.0	63.0	2.0	56.0	6.0	8.99994750788079	0.42421340809104674	0.0027885380077454732	0.014538403643275343	0.0027885380077454797	0.014538403643275381	3.0	0.5814042764834321	-0.0	-0.0	-0.0	-0.8291273407198237	-0.0	0.0	-0.0	0.0	-0.0	-0.5389800343076538	-0.0	0.0	-45855.55984596429	0.0	0.0	-250.3524790746899	-2201.445263884059
660000	-50697.83258273678	-4599.01509782959	-46098.817484907195	49.44162707010036	1965.4789208751051	1589.6475904449112	141.96158020911014	85.50652826796136	145.19664427862756	239.4526810739307	91.63189719630535	141.7160286762518	138.77815221267525	55.75394555855618	34.35925109380114	3.938621780016448	40.0	36.0	70.0	42.0	60.0	14.0	55.0	3.0	57.0	7.0	8.686145944611928	0.43638656499462947	0.0028324121607521333	0.014165093594142598	0.00283241216075214	0.014165093594142619	2.0	0.3522000983027983	0.0	-0.0	-0.0	-0.8094283501703472	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-45841.79229401889	0.0	0.0	-257.02519088831065	-2192.7109229802372
680000	-50674.23492519162	-4594.392709817532	-46079.84221537408	51.19927860840521	1963.7212693368003	1566.9833381717974	175.43942988876506	97.82938219555496	168.44696688377329	200.05007877438896	103.24197028838731	280.41182811053227	184.4803388888861	44.69516562834761	49.86971856553787	4.109762740078188	40.0	41.0	66.0	34.0	69.0	10.0	54.0	6.0	58.0	6.0	8.703425577859765	0.42615730434538873	0.0027730358735400945	0.016645795228245896	0.0027730358735401	0.016645795228245906	2.0	0.4375612526230019	0.0	-0.0	0.0	-0.7959341775298557	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-45825.53853078744	0.0	0.0	-254.30368458664458	-2179.234127247314
700000	-50676.27338057282	-4583.6251606677815	-46092.64821990504	52.71117594712159	1962.209371998084	1543.382479645677	129.2622937641173	119.2582905585786	150.1875865989974	180.46861956479734	133.70373012417326	310.00419972929114	121.0669594050395	31.483634486557065	45.76472898028777	4.984496865990378	36.0	59.0	54.0	31.0	70.0	12.0	54.0	12.0	51.0	5.0	8.258685512882694	0.4179583747478607	0.0028381323858176844	0.01633828036117862	0.0028381323858176865	0.016338280361178636	2.0	0.0	0.0	0.0	0.0	-1.2962031473010875	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.44705402133957106	-0.0	-45836.74333005953	0.0	0.0	-255.9048898455112	-2169.216041231633
