location	year	rainfall_sd
Saudi Arabia	1988	1.1509659020072662
South Korea	1988	1.1423810756633395
United Arab Emirates	1988	1.8197183892137514
Viet Nam	1988	0.8550287545981443
Bangladesh	1987	1.1068664296276007
China	1987	0.7286344699888373
Hong Kong	1987	0.9779883402602522
India	1987	0.9874789531843369
Iran	1987	0.9316083540119475
Israel	1987	1.2821314668460773
Japan	1987	0.5453220212125625
Pakistan	1987	0.7179209435160107
Saudi Arabia	1987	1.2512486061424208
South Korea	1987	1.2101883486946339
United Arab Emirates	1987	2.0589072272009585
Viet Nam	1987	0.7832133737730351
Bangladesh	1986	0.9058933265859352
China	1986	0.7815706705334039
Hong Kong	1986	0.904606438118901
India	1986	0.9954554807606094
Iran	1986	0.7971455187059356
Israel	1986	1.2304728195748371
Japan	1986	0.4670061176794042
Pakistan	1986	0.785112092464033
Saudi Arabia	1986	1.1877233101748996
South Korea	1986	0.8560520944549305
United Arab Emirates	1986	1.2834120383519
Viet Nam	1986	0.6751424768790546
